Date,Stock,Year,Month,Day,Open,High,Low,Close
2012-01-03,AAPL,2012,1,3,58.485714,58.92856999999999,58.42856999999999,58.74714300000001
2012-01-04,AAPL,2012,1,4,58.57143000000001,59.240002000000004,58.468571,59.062858999999996
2012-01-05,AAPL,2012,1,5,59.278572,59.792857999999995,58.952858,59.718571
2012-01-06,AAPL,2012,1,6,59.967144,60.39285699999999,59.888573,60.342856999999995
2012-01-09,AAPL,2012,1,9,60.785713,61.10714300000001,60.192856000000006,60.24714300000001
2012-01-10,AAPL,2012,1,10,60.844283999999995,60.85714300000001,60.214287,60.462856
2012-01-11,AAPL,2012,1,11,60.382858,60.407143000000005,59.901428,60.364284999999995
2012-01-12,AAPL,2012,1,12,60.325714000000005,60.414288,59.82143000000001,60.19857
2012-01-13,AAPL,2012,1,13,59.957142000000005,60.064285,59.80857099999999,59.972857999999995
2012-01-17,AAPL,2012,1,17,60.599998,60.855713,60.422855000000006,60.671429
2012-01-18,AAPL,2012,1,18,60.994285999999995,61.352856,60.900002,61.30143
2012-01-19,AAPL,2012,1,19,61.450001,61.624287,60.93,61.10714300000001
2012-01-20,AAPL,2012,1,20,61.07,61.07143000000001,59.964287,60.042857999999995
2012-01-23,AAPL,2012,1,23,60.381428,61.207142000000005,60.328571,61.05857099999999
2012-01-24,AAPL,2012,1,24,60.728573,60.728573,59.935715,60.05857099999999
2012-01-25,AAPL,2012,1,25,64.91999799999999,64.921425,63.389998999999996,
2012-01-26,AAPL,2012,1,26,64.05143000000001,64.112854,63.305714,63.51857
2012-01-27,AAPL,2012,1,27,63.47714200000001,64.068573,63.395714,63.897144
2012-01-30,AAPL,2012,1,30,63.672855000000006,64.842857,63.627143999999994,64.715714
2012-01-31,AAPL,2012,1,31,65.084282,65.46285999999999,64.724289,65.211426
2012-02-01,AAPL,2012,2,1,65.487144,65.57,65.078575,65.16999799999999
2012-02-02,AAPL,2012,2,2,65.128571,65.309998,64.854286,
2012-02-03,AAPL,2012,2,3,65.328575,65.714287,65.08000200000001,65.668571
2012-02-06,AAPL,2012,2,6,65.482857,66.425713,65.457146,66.281425
2012-02-07,AAPL,2012,2,7,66.464287,67.10714,66.36856800000001,66.975716
2012-02-08,AAPL,2012,2,8,67.214287,68.112854,67.099998,68.097145
2012-02-09,AAPL,2012,2,9,68.68,70.964287,68.65142800000001,70.45285799999999
2012-02-10,AAPL,2012,2,10,70.137146,71.08856999999999,69.792854,70.488571
2012-02-13,AAPL,2012,2,13,71.361427,71.975716,71.012856,71.800003
2012-02-14,AAPL,2012,2,14,72.094284,72.794289,71.714287,72.779999
2012-02-15,AAPL,2012,2,15,73.465714,75.184288,70.98428299999999,71.095711
2012-02-16,AAPL,2012,2,16,70.214287,72.127144,69.51857,71.744286
2012-02-17,AAPL,2012,2,17,71.872856,72.538574,71.471428,
2012-02-21,AAPL,2012,2,21,72.41143000000001,73.550003,72.017143,73.550003
2012-02-22,AAPL,2012,2,22,73.29714200000001,73.641426,72.724289,73.291428
2012-02-23,AAPL,2012,2,23,73.58285500000001,73.975716,72.785713,73.769997
2012-02-24,AAPL,2012,2,24,74.238571,74.699997,74.091431,74.629997
2012-02-27,AAPL,2012,2,27,74.47285500000001,75.5,73.754288,75.108574
2012-02-28,AAPL,2012,2,28,75.422859,76.487144,75.121429,76.487144
2012-02-29,AAPL,2012,2,29,77.36571500000001,78.230003,76.528572,77.49143199999999
2012-03-01,AAPL,2012,3,1,78.309998,78.315712,76.96714,77.781425
2012-03-02,AAPL,2012,3,2,77.748573,78.114288,77.502853,77.882858
2012-03-05,AAPL,2012,3,5,77.91714499999999,78.211426,75.14286,76.165718
2012-03-06,AAPL,2012,3,6,74.808571,76.24143199999999,73.745712,75.751427
2012-03-07,AAPL,2012,3,7,76.685715,76.825714,74.757141,75.812859
2012-03-08,AAPL,2012,3,8,76.38428499999999,77.57,76.017143,77.427139
2012-03-09,AAPL,2012,3,9,77.744286,78.248573,77.58714300000001,77.88143199999999
2012-03-12,AAPL,2012,3,12,78.425713,78.85714,78.14286,78.85714
2012-03-13,AAPL,2012,3,13,79.648575,81.168571,79.39286,81.157143
2012-03-14,AAPL,2012,3,14,82.578575,84.959999,82.199997,84.225716
2012-03-15,AAPL,2012,3,15,,,,
2012-03-16,AAPL,2012,3,16,83.531425,84.171425,82.571426,83.652855
2012-03-19,AAPL,2012,3,19,85.48143,85.96714,84.150002,85.871429
2012-03-20,AAPL,2012,3,20,85.644287,86.699997,84.497147,86.565712
2012-03-21,AAPL,2012,3,21,86.105713,87.092857,85.915718,86.071426
2012-03-22,AAPL,2012,3,22,85.397141,86.35714,85.075714,85.620003
2012-03-23,AAPL,2012,3,23,85.784286,85.971428,84.914284,85.150002
2012-03-26,AAPL,2012,3,26,85.684288,86.735718,85.03714000000001,86.711426
2012-03-27,AAPL,2012,3,27,86.597145,88.040001,86.58000200000001,87.78286
2012-03-28,AAPL,2012,3,28,88.339996,88.778572,87.187141,88.23143
2012-03-29,AAPL,2012,3,29,87.540001,88.08000200000001,86.747147,87.122856
2012-03-30,AAPL,2012,3,30,86.96714,87.22285500000001,85.41999799999999,85.650002
2012-04-02,AAPL,2012,4,2,85.975716,88.395714,85.76857,88.37571700000001
2012-04-03,AAPL,2012,4,3,89.614288,90.315712,88.93,89.902855
2012-04-04,AAPL,2012,4,4,89.192856,89.408569,88.14286,89.187141
2012-04-05,AAPL,2012,4,5,89.568573,90.665718,89.057144,90.525711
2012-04-09,AAPL,2012,4,9,89.447144,91.405716,89.328575,90.889999
2012-04-10,AAPL,2012,4,10,91.418571,92.0,89.428574,89.77714499999999
2012-04-11,AAPL,2012,4,11,90.885712,90.98143,89.048569,89.457146
2012-04-12,AAPL,2012,4,12,89.285713,90.190002,88.64286,88.96714
2012-04-13,AAPL,2012,4,13,89.158569,89.242859,86.215714,86.461426
2012-04-16,AAPL,2012,4,16,87.15142800000001,87.182854,82.60714,82.87571700000001
2012-04-17,AAPL,2012,4,17,82.705711,87.14286,81.701431,87.099998
2012-04-18,AAPL,2012,4,18,87.674286,88.60714,86.101425,86.905716
2012-04-19,AAPL,2012,4,19,85.745712,86.389999,83.502853,83.91999799999999
2012-04-20,AAPL,2012,4,20,84.482857,84.945717,81.488571,81.854286
2012-04-23,AAPL,2012,4,23,81.51571700000001,82.38143199999999,79.517143,81.671425
2012-04-24,AAPL,2012,4,24,80.372856,81.09857199999999,79.285713,80.040001
2012-04-25,AAPL,2012,4,25,87.94856999999999,88.285713,86.571426,87.14286
2012-04-26,AAPL,2012,4,26,87.752853,87.812859,86.01857,86.814285
2012-04-27,AAPL,2012,4,27,86.438568,86.597145,85.785713,86.14286
2012-04-30,AAPL,2012,4,30,85.400002,85.485718,83.285713,83.425713
2012-05-01,AAPL,2012,5,1,83.557144,85.251427,83.03286,83.16143000000001
2012-05-02,AAPL,2012,5,2,82.891426,83.914284,82.694283,83.711426
2012-05-03,AAPL,2012,5,3,84.35714,84.485718,82.900002,83.117142
2012-05-04,AAPL,2012,5,4,82.440002,82.622856,80.738571,80.75
2012-05-07,AAPL,2012,5,7,80.214287,81.824287,80.175713,
2012-05-08,AAPL,2012,5,8,81.36856800000001,81.64286,79.818573,81.168571
2012-05-09,AAPL,2012,5,9,80.528572,81.997147,80.121429,81.311432
2012-05-10,AAPL,2012,5,10,82.08285500000001,82.26857,81.205711,81.502853
2012-05-11,AAPL,2012,5,11,80.714287,82.067146,80.621429,80.958572
2012-05-14,AAPL,2012,5,14,80.367142,81.072861,79.657143,79.745712
2012-05-15,AAPL,2012,5,15,80.207146,80.459999,78.821426,79.024284
2012-05-16,AAPL,2012,5,16,79.150002,79.555717,77.291428,78.011429
2012-05-17,AAPL,2012,5,17,77.90142800000001,78.214287,75.73143,75.73143
2012-05-18,AAPL,2012,5,18,76.279999,77.629997,74.597145,75.76857
2012-05-21,AAPL,2012,5,21,76.35714,80.220001,76.292854,80.182854
2012-05-22,AAPL,2012,5,22,81.364288,81.982857,78.940002,79.567146
2012-05-23,AAPL,2012,5,23,79.64286,81.828575,79.03286,81.50856800000001
2012-05-24,AAPL,2012,5,24,82.267143,82.35714,80.175713,80.760002
2012-05-25,AAPL,2012,5,25,80.655716,80.835716,79.781425,80.327141
2012-05-29,AAPL,2012,5,29,81.557144,82.0,80.75856800000001,81.752853
2012-05-30,AAPL,2012,5,30,81.314285,82.855713,80.937141,82.738571
2012-05-31,AAPL,2012,5,31,82.96285999999999,83.071426,81.637146,82.53286
2012-06-01,AAPL,2012,6,1,81.308571,81.807144,80.074287,80.141426
2012-06-04,AAPL,2012,6,4,80.214287,81.071426,78.35714,80.612854
2012-06-05,AAPL,2012,6,5,80.181427,80.924286,79.761429,80.404289
2012-06-06,AAPL,2012,6,6,81.110001,81.978569,80.785713,81.637146
2012-06-07,AAPL,2012,6,7,82.470001,82.474289,81.5,81.674286
2012-06-08,AAPL,2012,6,8,81.657143,82.940002,81.285713,82.902855
2012-06-11,AAPL,2012,6,11,83.959999,84.071426,81.51857,81.595711
2012-06-12,AAPL,2012,6,12,82.065712,82.37428299999999,80.957146,82.308571
2012-06-13,AAPL,2012,6,13,82.074287,82.639999,81.482857,81.737144
2012-06-14,AAPL,2012,6,14,81.605713,81.928574,81.03714000000001,81.647141
2012-06-15,AAPL,2012,6,15,81.571426,82.08856999999999,81.364288,82.01857
2012-06-18,AAPL,2012,6,18,81.565712,83.98428299999999,81.48143,83.682854
2012-06-19,AAPL,2012,6,19,83.342857,84.285713,83.300003,83.915718
2012-06-20,AAPL,2012,6,20,84.029999,84.178574,82.971428,
2012-06-21,AAPL,2012,6,21,83.63428499999999,84.031425,82.49143199999999,
2012-06-22,AAPL,2012,6,22,82.720001,83.16999799999999,82.20285799999999,83.157143
2012-06-25,AAPL,2012,6,25,82.471428,82.828575,81.48143,81.538574
2012-06-26,AAPL,2012,6,26,81.61856800000001,82.07,81.04714200000001,81.718575
2012-06-27,AAPL,2012,6,27,82.14286,82.391426,81.70285799999999,82.071426
2012-06-28,AAPL,2012,6,28,81.66714499999999,82.0,80.80143000000001,81.292854
2012-06-29,AAPL,2012,6,29,82.571426,83.428574,82.035713,83.428574
2012-07-02,AAPL,2012,7,2,83.53286,84.781425,83.371429,84.645714
2012-07-03,AAPL,2012,7,3,84.982857,85.714287,84.85714,85.629997
2012-07-05,AAPL,2012,7,5,85.794289,87.762856,85.664284,87.13428499999999
2012-07-06,AAPL,2012,7,6,86.727142,86.91999799999999,85.940002,86.554283
2012-07-09,AAPL,2012,7,9,86.471428,87.699997,86.30143000000001,87.69856999999999
2012-07-10,AAPL,2012,7,10,88.281425,88.552856,86.47285500000001,86.887146
2012-07-11,AAPL,2012,7,11,86.58856999999999,86.808571,85.317146,86.347145
2012-07-12,AAPL,2012,7,12,85.748573,86.209999,84.668571,85.557144
2012-07-13,AAPL,2012,7,13,86.135712,86.74143199999999,85.714287,86.424286
2012-07-16,AAPL,2012,7,16,86.445717,87.37428299999999,86.431427,
2012-07-17,AAPL,2012,7,17,87.255714,87.35714,86.164284,86.705711
2012-07-18,AAPL,2012,7,18,86.655716,86.905716,86.22285500000001,86.608574
2012-07-19,AAPL,2012,7,19,87.325714,87.907143,86.571426,87.760002
2012-07-20,AAPL,2012,7,20,87.575714,87.77714499999999,86.242859,86.328575
2012-07-23,AAPL,2012,7,23,84.914284,86.557144,83.958572,86.261429
2012-07-24,AAPL,2012,7,24,86.76857,87.097145,85.501427,85.845711
2012-07-25,AAPL,2012,7,25,82.065712,82.971428,81.428574,82.138573
2012-07-26,AAPL,2012,7,26,82.822861,82.914284,81.480003,82.12571700000001
2012-07-27,AAPL,2012,7,27,82.144287,83.690002,81.655716,83.594284
2012-07-30,AAPL,2012,7,30,84.41714499999999,85.63428499999999,83.974289,85.004288
2012-07-31,AAPL,2012,7,31,86.175713,87.385712,86.102859,87.251427
2012-08-01,AAPL,2012,8,1,87.987144,88.057144,86.14286,86.687141
2012-08-02,AAPL,2012,8,2,86.120003,87.24143199999999,85.75,86.827141
2012-08-03,AAPL,2012,8,3,87.66143000000001,88.28286,87.36571500000001,87.957146
2012-08-06,AAPL,2012,8,6,88.184288,89.267143,87.894287,88.935715
2012-08-07,AAPL,2012,8,7,88.96714,89.285713,88.291428,88.701431
2012-08-08,AAPL,2012,8,8,88.48428299999999,89.12571700000001,88.157143,88.55143000000001
2012-08-09,AAPL,2012,8,9,88.264282,88.818573,88.257141,88.675713
2012-08-10,AAPL,2012,8,10,88.387146,88.822861,88.385712,88.814285
2012-08-13,AAPL,2012,8,13,89.055717,90.0,89.035713,90.0
2012-08-14,AAPL,2012,8,14,90.267143,91.230003,90.029999,90.24143199999999
2012-08-15,AAPL,2012,8,15,90.185715,90.571426,89.678574,90.11856800000001
2012-08-16,AAPL,2012,8,16,90.172859,90.965714,90.071426,90.905716
2012-08-17,AAPL,2012,8,17,91.428574,92.59857199999999,91.25856800000001,92.58714300000001
2012-08-20,AAPL,2012,8,20,92.858574,95.021431,92.842857,95.021431
2012-08-21,AAPL,2012,8,21,95.831429,96.41143000000001,92.904289,93.72285500000001
2012-08-22,AAPL,2012,8,22,93.488571,95.571426,92.58714300000001,95.552856
2012-08-23,AAPL,2012,8,23,95.158569,95.699997,94.449997,94.66143000000001
2012-08-24,AAPL,2012,8,24,94.215714,95.639999,93.650002,94.745712
2012-08-27,AAPL,2012,8,27,97.141426,97.267143,96.220001,96.525711
2012-08-28,AAPL,2012,8,28,96.425713,96.585716,95.809998,96.400002
2012-08-29,AAPL,2012,8,29,96.464287,96.809998,96.085716,96.209999
2012-08-30,AAPL,2012,8,30,95.805717,95.935715,94.692856,94.83856999999999
2012-08-31,AAPL,2012,8,31,95.321426,95.514282,93.89286,95.034286
2012-09-04,AAPL,2012,9,4,95.108574,96.44856999999999,94.928574,96.424286
2012-09-05,AAPL,2012,9,5,96.510002,96.621429,95.657143,95.747147
2012-09-06,AAPL,2012,9,6,96.16714499999999,96.898575,95.828575,96.610001
2012-09-07,AAPL,2012,9,7,96.864288,97.497147,96.538574,97.205711
2012-09-10,AAPL,2012,9,10,97.207146,97.612854,94.585716,94.677139
2012-09-11,AAPL,2012,9,11,95.01571700000001,95.728569,93.785713,94.370003
2012-09-12,AAPL,2012,9,12,95.264282,95.699997,93.714287,95.684288
2012-09-13,AAPL,2012,9,13,96.767143,97.928574,96.395714,97.568573
2012-09-14,AAPL,2012,9,14,98.565712,99.568573,98.269997,98.754288
2012-09-17,AAPL,2012,9,17,99.907143,99.971428,99.230003,99.968575
2012-09-18,AAPL,2012,9,18,99.982857,100.33285500000001,99.488571,100.272858
2012-09-19,AAPL,2012,9,19,100.03714000000001,100.57,99.938568,100.300003
2012-09-20,AAPL,2012,9,20,99.879997,100.00856800000001,99.08856999999999,99.814285
2012-09-21,AAPL,2012,9,21,100.344284,100.724289,99.908569,100.012856
2012-09-24,AAPL,2012,9,24,98.122856,99.302856,97.571426,98.684288
2012-09-25,AAPL,2012,9,25,98.322861,98.968575,96.14286,96.220001
2012-09-26,AAPL,2012,9,26,95.534286,96.09857199999999,94.457146,95.025711
2012-09-27,AAPL,2012,9,27,94.898575,97.45285799999999,94.335716,97.331429
2012-09-28,AAPL,2012,9,28,96.964287,97.30143000000001,95.25,95.300003
2012-10-01,AAPL,2012,10,1,95.879997,96.678574,93.785713,94.19856999999999
2012-10-02,AAPL,2012,10,2,94.544289,95.192856,92.949997,94.47285500000001
2012-10-03,AAPL,2012,10,3,94.980003,95.980003,94.66143000000001,95.921425
2012-10-04,AAPL,2012,10,4,95.89286,96.321426,95.078575,95.257141
2012-10-05,AAPL,2012,10,5,95.028572,95.14286,93.040001,93.227142
2012-10-08,AAPL,2012,10,8,92.41143000000001,92.50856800000001,90.872856,91.16714499999999
2012-10-09,AAPL,2012,10,9,91.235718,91.498573,89.078575,90.835716
2012-10-10,AAPL,2012,10,10,91.391426,92.139999,91.0,91.558571
